,0
0,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Line of Sight', 'Map Addition', 'Modular Board', 'Movement Points', 'Multiple Maps', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Team-Based Game', 'Variable Player Powers']"
1,"['Area Majority / Influence', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Rondel', 'Solo / Solitaire Game', 'Victory Points as a Resource']"
2,"['Action Points', 'Card Play Conflict Resolution', 'Force Commitment', 'Hand Management', 'Point to Point Movement', 'Secret Unit Deployment', 'Turn Order: Auction', 'Variable Set-up']"
3,"['Alliances', 'Card Play Conflict Resolution', 'Hand Management', 'Interrupts', 'Negotiation', ""Prisoner's Dilemma"", 'Race', 'Simultaneous Action Selection', 'Take That', 'Trading', 'Variable Player Powers']"
4,"['Hand Management', 'Layering', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Worker Placement, Different Worker Types']"
5,"['End Game Bonuses', 'Hand Management', 'Once-Per-Game Abilities', 'Open Drafting', 'Solo / Solitaire Game', 'Track Movement', 'Turn Order: Progressive']"
6,"['End Game Bonuses', 'Hidden Victory Points', 'I Cut, You Choose', 'Increase Value of Unchosen Resources', 'Pattern Building', 'Set Collection', 'Tile Placement', 'Turn Order: Progressive']"
7,"['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Variable Set-up']"
8,"['Action Points', 'Cooperative Game', 'Dice Rolling', 'Pick-up and Deliver', 'Point to Point Movement', 'Solo / Solitaire Game', 'Variable Player Powers', 'Variable Set-up']"
9,"['End Game Bonuses', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Tile Placement', 'Turn Order: Claim Action']"
10,"['Action Points', 'Connections', 'End Game Bonuses', 'Hexagon Grid', 'Income', 'Loans', 'Network and Route Building', 'Open Drafting', 'Ownership', 'Pick-up and Deliver', 'Tile Placement', 'Turn Order: Auction']"
11,"['Finale Ending', 'Hidden Roles', 'Roles with Asymmetric Information', 'Simultaneous Action Selection', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Voting']"
12,"['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Solo / Solitaire Game', 'Track Movement', 'Variable Set-up']"
13,"['Dice Rolling', 'Open Drafting', 'Random Production']"
14,"['Advantage Token', 'Alliances', 'Area Movement', 'Auction / Bidding', 'Auction: Sealed Bid', 'Card Play Conflict Resolution', 'Events', 'Hand Management', 'Income', 'Negotiation', 'Order Counters', 'Player Elimination', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Turn Order: Auction', 'Variable Player Powers']"
15,"['Increase Value of Unchosen Resources', 'Modular Board', 'Network and Route Building', 'Worker Placement', 'Worker Placement, Different Worker Types']"
16,"['Hand Management', 'Network and Route Building', 'Open Drafting', 'Push Your Luck', 'Set Collection']"
17,"['Auction / Bidding', 'Auction: English', 'Auction: Once Around', 'Auction: Sealed Bid', 'Auction: Turn Order Until Pass', 'Commodity Speculation', 'Hand Management', 'Victory Points as a Resource']"
18,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Solo / Solitaire Game']"
19,"['Chaining', 'Enclosure', 'Pattern Building', 'Pattern Recognition', 'Square Grid']"
20,"['Action / Event', 'Cooperative Game', 'Memory', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Variable Set-up']"
21,"['Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Simulation']"
22,"['Deduction', 'Grid Movement', 'Hidden Movement', 'Line Drawing', 'Real-Time', 'Role Playing', 'Secret Unit Deployment', 'Simulation', 'Team-Based Game']"
23,"['Auction: Dutch', 'Catch the Leader', 'End Game Bonuses', 'Hexagon Grid', 'Income', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tile Placement']"
24,"['Area Majority / Influence', 'Contracts', 'Set Collection', 'Turn Order: Claim Action', 'Worker Placement', 'Worker Placement, Different Worker Types']"
25,"['Closed Drafting', 'Hand Management', 'Neighbor Scope', 'Set Collection', 'Simultaneous Action Selection', 'Variable Player Powers']"
26,"['Action Points', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Semi-Cooperative Game', 'Storytelling', 'Trading', 'Traitor Game', 'Turn Order: Progressive', 'Variable Player Powers', 'Voting']"
27,"['Action Retrieval', 'Alliances', 'Area Majority / Influence', 'Auction: Sealed Bid', 'Card Play Conflict Resolution', 'Grid Movement', 'Hexagon Grid', 'Kill Steal', 'Player Elimination', 'Race', 'Tech Trees / Tech Tracks', 'Variable Player Powers']"
28,"['Contracts', 'Open Drafting', 'Race', 'Set Collection']"
29,"['Area Majority / Influence', 'Enclosure', 'Map Addition', 'Pattern Building', 'Tile Placement']"
30,"['Auction / Bidding', 'Auction: Sealed Bid', 'Constrained Bidding', 'Selection Order Bid', 'Set Collection', 'Simultaneous Action Selection']"
31,"['Hand Management', 'Ladder Climbing', 'Predictive Bid', 'Team-Based Game']"
32,"['Action Points', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Player Powers']"
33,"['Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Legacy Game', 'Open Drafting', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Phase Order', 'Variable Player Powers']"
34,"['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting', 'Take That']"
35,"['Deck, Bag, and Pool Building', 'Open Drafting', 'Tug of War']"
36,"['Campaign / Battle Card Driven', 'Dice Rolling', 'Point to Point Movement']"
37,"['Dice Rolling', 'Modular Board', 'Once-Per-Game Abilities', 'Re-rolling and Locking', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Square Grid', 'Sudden Death Ending', 'Variable Set-up', 'Worker Placement', 'Worker Placement with Dice Workers']"
38,"['Action Drafting', 'Auction / Bidding', 'Dice Rolling', 'End Game Bonuses', 'Income', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up', 'Worker Placement with Dice Workers']"
39,"['Area Movement', 'Cooperative Game', 'Events', 'Push Your Luck', 'Random Production', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Sudden Death Ending', 'Trading', 'Variable Player Powers', 'Variable Set-up']"
40,"['Events', 'Open Drafting', 'Variable Player Powers']"
41,"['Catch the Leader', 'Grid Movement', 'Pattern Building']"
42,"['Bingo', 'Catch the Leader', 'Grid Coverage', 'Legacy Game', 'Pattern Building', 'Scenario / Mission / Campaign Game', 'Tile Placement']"
43,"['Closed Drafting', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Movement Points', 'Multiple Maps', 'Narrative Choice / Paragraph', 'Network and Route Building', 'Open Drafting', 'Point to Point Movement', 'Push Your Luck', 'Resource to Move', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Storytelling', 'Tags', 'Variable Player Powers', 'Worker Placement']"
44,"['Connections', 'Contracts', 'End Game Bonuses', 'Hand Management', 'Network and Route Building', 'Open Drafting', 'Push Your Luck', 'Set Collection']"
45,"['Deck, Bag, and Pool Building', 'Dice Rolling', 'Open Drafting', 'Turn Order: Progressive', 'Worker Placement', 'Worker Placement with Dice Workers']"
46,"['Advantage Token', 'Campaign / Battle Card Driven', 'Grid Movement', 'Hexagon Grid', 'Line of Sight', 'Movement Points', 'Simulation', 'Variable Phase Order']"
47,"['Enclosure', 'End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Open Drafting', 'Pattern Building', 'Set Collection', 'Solo / Solitaire Game', 'Tile Placement']"
48,"['Area Majority / Influence', 'Area Movement', 'Auction / Bidding', 'Auction: Fixed Placement', 'Dice Rolling', 'Open Drafting', 'Set Collection', 'Variable Phase Order']"
49,"['Action Points', 'Dice Rolling', 'Income', 'Set Collection', 'Tile Placement', 'Worker Placement']"
50,"['Hidden Roles', 'Player Elimination', 'Team-Based Game', 'Traitor Game', 'Voting']"
51,"['Real-Time', 'Score-and-Reset Game']"
52,"['Area Majority / Influence', 'Automatic Resource Growth', 'Contracts', 'Dice Rolling', 'Hand Management', 'Hidden Victory Points', 'Income', 'Market', 'Multi-Use Cards', 'Open Drafting', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers', 'Victory Points as a Resource']"
53,"['Communication Limits', 'Cooperative Game', 'Memory', 'Push Your Luck']"
54,"['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Die Icon Resolution', 'Hand Management', 'Resource to Move', 'Take That', 'Trick-taking', 'Turn Order: Claim Action', 'Variable Player Powers']"
55,"['Deck, Bag, and Pool Building', 'Events', 'Open Drafting', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Variable Set-up']"
56,"['Action Retrieval', 'Contracts', 'Deck, Bag, and Pool Building', 'Hand Management', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection']"
57,"['End Game Bonuses', 'Hand Management', 'Open Drafting', 'Set Collection', 'Tags']"
58,"['Betting and Bluffing', 'Dice Rolling', 'Roll / Spin and Move', 'Track Movement', 'Variable Set-up']"
59,"['Area Majority / Influence', 'Force Commitment', 'Hand Management', 'I Cut, You Choose', 'Race']"
60,"['Action Points', 'Card Play Conflict Resolution', 'Hand Management', 'Line of Sight', 'Player Elimination', 'Point to Point Movement', 'Team-Based Game', 'Variable Player Powers']"
61,"['Communication Limits', 'Deduction', 'Events', 'Finale Ending', 'Hidden Roles', 'Storytelling', 'Team-Based Game', 'Traitor Game', 'Variable Set-up']"
62,"['Bribery', 'Dice Rolling', 'Negotiation', 'Push Your Luck', 'Simulation', 'Voting']"
63,"['Cooperative Game', 'Dice Rolling', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Turn Order: Progressive', 'Variable Player Powers']"
64,"['Cooperative Game', 'Deduction', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game']"
65,"['Closed Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Variable Set-up']"
66,"['Catch the Leader', 'Hand Management', 'Modular Board', 'Programmed Movement', 'Race', 'Simulation', 'Simultaneous Action Selection', 'Track Movement']"
67,"['Dice Rolling', 'Open Drafting', 'Role Playing', 'Set Collection', 'Variable Player Powers']"
68,"['Catch the Leader', 'Commodity Speculation', 'I Cut, You Choose', 'Set Collection', 'Tile Placement', 'Turn Order: Progressive']"
69,"['Auction / Bidding', 'End Game Bonuses', 'Grid Coverage', 'Tile Placement', 'Victory Points as a Resource']"
70,"['Action Points', 'Advantage Token', 'Automatic Resource Growth', 'Contracts', 'End Game Bonuses', 'Hand Management', 'Income', 'Increase Value of Unchosen Resources', 'Market', 'Modular Board', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Worker Placement']"
71,"['Action Points', 'Area Movement', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Deck, Bag, and Pool Building', 'Events', 'Hand Management', 'Map Deformation', 'Modular Board', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']"
72,"['End Game Bonuses', 'Follow', 'Hand Management', 'Multi-Use Cards', 'Set Collection', 'Sudden Death Ending', 'Variable Phase Order']"
73,"['Area Majority / Influence', 'Dice Rolling', 'End Game Bonuses', 'Hexagon Grid', 'Map Addition', 'Modular Board', 'Ownership', 'Variable Phase Order', 'Worker Placement']"
74,"['Area Majority / Influence', 'Hand Management', 'Hexagon Grid', 'Once-Per-Game Abilities', 'Set Collection', 'Tile Placement']"
