,0
0,"['Betting and Bluffing', 'Paper-and-Pencil']"
1,"['Dice Rolling', 'Hidden Roles', 'Player Elimination', 'Push Your Luck', 'Re-rolling and Locking', 'Team-Based Game', 'Variable Player Powers']"
2,"['Closed Drafting', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Modular Board', 'Race', 'Resource to Move', 'Simultaneous Action Selection', 'Track Movement', 'Variable Player Powers', 'Worker Placement with Dice Workers']"
3,"['Auction / Bidding', 'Hexagon Grid', 'Market', 'Network and Route Building', 'Ownership', 'Stock Holding', 'Tile Placement', 'Victory Points as a Resource']"
4,"['Area Majority / Influence', 'Card Play Conflict Resolution', 'Dice Rolling', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Narrative Choice / Paragraph', 'Pick-up and Deliver', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Player Powers']"
5,"['Grid Movement', 'Income', 'Modular Board', 'Solo / Solitaire Game', 'Track Movement', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement']"
6,"['Commodity Speculation', 'Ownership', 'Stock Holding', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']"
7,"['End Game Bonuses', 'Income', 'Loans', 'Modular Board', 'Set Collection', 'Take That', 'Turn Order: Auction', 'Worker Placement with Dice Workers']"
8,"['Solo / Solitaire Game', 'Worker Placement']"
9,"['Open Drafting', 'Set Collection', 'Solo / Solitaire Game']"
10,"['End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Network and Route Building', 'Open Drafting', 'Point to Point Movement', 'Tile Placement']"
11,"['Area Majority / Influence', 'End Game Bonuses', 'Variable Set-up', 'Voting', 'Worker Placement', 'Worker Placement, Different Worker Types']"
12,"['Hand Management', 'Player Elimination', 'Point to Point Movement', 'Simultaneous Action Selection', 'Solo / Solitaire Game']"
13,"['Action Points', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Ratio / Combat Results Table', 'Simulation']"
14,"['Area Majority / Influence', 'Hand Management']"
15,"['Dice Rolling', 'Grid Movement', 'Hidden Movement', 'Movement Points', 'Once-Per-Game Abilities', 'Secret Unit Deployment', 'Square Grid', 'Team-Based Game', 'Variable Player Powers']"
16,"['End Game Bonuses', 'Income', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Stat-Based']"
17,"['Action Points', 'Contracts', 'Pick-up and Deliver', 'Set Collection', 'Tile Placement', 'Worker Placement']"
18,"['Contracts', 'Grid Movement', 'Modular Board', 'Pick-up and Deliver', 'Point to Point Movement', 'Set Collection']"
19,"['Closed Drafting', 'Highest-Lowest Scoring', 'Neighbor Scope', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tile Placement']"
20,"['Action Retrieval', 'Cooperative Game', 'Dice Rolling', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']"
21,"['Cooperative Game', 'Physical Removal', 'Stacking and Balancing']"
22,"['Auction / Bidding', 'Auction: Dutch', 'Auction: Fixed Placement', 'Income', 'Network and Route Building', 'Tile Placement']"
23,"['Action Drafting', 'Follow', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Race', 'Turn Order: Claim Action', 'Variable Phase Order', 'Variable Player Powers']"
