,0
0,"['Hand Management', 'Trick-taking']"
1,"['Contracts', 'Open Drafting', 'Race', 'Set Collection']"
2,"['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Scenario / Mission / Campaign Game', 'Variable Player Powers']"
3,"['Investment', 'Network and Route Building', 'Open Drafting', 'Set Collection', 'Stock Holding']"
4,"['Open Drafting', 'Set Collection', 'Take That', 'Turn Order: Claim Action', 'Variable Set-up']"
5,"['Connections', 'Dice Rolling', 'Grid Coverage', 'Network and Route Building', 'Paper-and-Pencil', 'Worker Placement with Dice Workers']"
6,"['Area Majority / Influence', 'Auction / Bidding', 'Auction: Sealed Bid', 'Bribery', 'Commodity Speculation', 'Grid Movement', 'Hexagon Grid', 'Map Addition', 'Market', 'Modular Board', 'Semi-Cooperative Game', 'Take That', 'Tile Placement', 'Trading', 'Traitor Game', 'Worker Placement']"
7,"['Dice Rolling', 'Open Drafting', 'Random Production', 'Variable Set-up']"
8,"['Cooperative Game', 'Dice Rolling', 'Push Your Luck', 'Solo / Solitaire Game', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']"
9,"['Action Points', 'Hand Management', 'Victory Points as a Resource', 'Worker Placement']"
10,"['Bingo', 'Connections', 'Grid Movement', 'Network and Route Building', 'Simultaneous Action Selection', 'Tile Placement']"
11,"['Dice Rolling', 'Hand Management', 'Hidden Victory Points', 'Race', 'Roll / Spin and Move', 'Simultaneous Action Selection', 'Take That', 'Track Movement', 'Turn Order: Progressive', 'Victory Points as a Resource']"
12,"['Area Majority / Influence', 'Dice Rolling', 'Turn Order: Pass Order', 'Turn Order: Stat-Based', 'Worker Placement', 'Worker Placement with Dice Workers']"
13,"['Auction / Bidding', 'Income', 'Rondel', 'Tile Placement', 'Victory Points as a Resource']"
14,"['Dice Rolling', 'Hand Management', 'Race', 'Set Collection', 'Trading', 'Variable Player Powers', 'Worker Placement', 'Worker Placement with Dice Workers']"
15,"['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Movement Points', 'Multi-Use Cards', 'Open Drafting']"
